year,order,name,conditions,surface,fin_commit,winner,winner_slug,currency,amount
1991,0,Adelaide,Outdoor,Hard,"$175,000",Nicklas Kulti,nicklas-kulti,$,175000.0
1991,1,Wellington,Outdoor,Hard,"$175,000",Richard Fromberg,richard-fromberg,$,175000.0
1991,2,Auckland,Outdoor,Hard,"$175,000",Karel Novacek,karel-novacek,$,175000.0
1991,3,Sydney Outdoor,Outdoor,Hard,"$250,000",Guy Forget,guy-forget,$,250000.0
1991,5,Guaruja,Outdoor,Hard,"$150,000",Patrick Baur,patrick-baur,$,150000.0
1991,6,Milan,Indoor,Carpet,"$600,000",Alexander Volkov,alexander-volkov,$,600000.0
1991,7,San Francisco,Indoor,Carpet,"$250,000",Darren Cahill,darren-cahill,$,250000.0
1991,8,Brussels,Indoor,Carpet,"$600,000",Guy Forget,guy-forget,$,600000.0
1991,9,Philadelphia,Indoor,Carpet,"$1,000,000",Ivan Lendl,ivan-lendl,$,1000000.0
1991,10,Memphis,Indoor,Hard,"$750,000",Ivan Lendl,ivan-lendl,$,750000.0
1991,11,Stuttgart Indoor,Indoor,Carpet,"$1,000,000",Stefan Edberg,stefan-edberg,$,1000000.0
1991,12,Chicago,Indoor,Carpet,"$250,000",John McEnroe,john-mcenroe,$,250000.0
1991,13,Rotterdam,Indoor,Carpet,"$500,000",Omar Camporese,omar-camporese,$,500000.0
1991,14,Copenhagen,Indoor,Carpet,"$150,000",Jonas Svensson,jonas-svensson,$,150000.0
1991,15,ATP Masters Series Indian Wells,Outdoor,Hard,"$1,000,000",Jim Courier,jim-courier,$,1000000.0
1991,16,ATP Masters Series Miami,Outdoor,Hard,"$1,500,000",Jim Courier,jim-courier,$,1500000.0
1991,17,Estoril,Outdoor,Clay,"$375,000",Sergi Bruguera,sergi-bruguera,$,375000.0
1991,18,Hong Kong,Outdoor,Hard,"$260,000",Richard Krajicek,richard-krajicek,$,260000.0
1991,19,Orlando,Outdoor,Hard,"$250,000",Andre Agassi,andre-agassi,$,250000.0
1991,20,Barcelona,Outdoor,Clay,"$650,000",Emilio Sanchez,emilio-sanchez,$,650000.0
1991,21,Tokyo Outdoor,Outdoor,Hard,"$1,000,000",Stefan Edberg,stefan-edberg,$,1000000.0
1991,22,Nice,Outdoor,Clay,"$250,000",Martin Jaite,martin-jaite,$,250000.0
1991,23,Seoul,Outdoor,Hard,"$165,000",Patrick Baur,patrick-baur,$,165000.0
1991,24,ATP Masters Series Monte Carlo,Outdoor,Clay,"$1,000,000",Sergi Bruguera,sergi-bruguera,$,1000000.0
1991,25,Singapore,Outdoor,Hard,"$250,000",Jan Siemerink,jan-siemerink,$,250000.0
1991,26,Madrid,Outdoor,Clay,"$500,000",Jordi Arrese,jordi-arrese,$,500000.0
1991,27,Munich,Outdoor,Clay,"$250,000",Magnus Gustafsson,magnus-gustafsson,$,250000.0
1991,28,Tampa,Outdoor,Clay,"$250,000",Richey Reneberg,richey-reneberg,$,250000.0
1991,29,Charlotte,Outdoor,Clay,"$250,000",Jaime Yzaga,jaime-yzaga,$,250000.0
1991,30,ATP Masters Series Hamburg,Outdoor,Clay,"$1,000,000",Karel Novacek,karel-novacek,$,1000000.0
1991,31,ATP Masters Series Rome,Outdoor,Clay,"$1,280,000",Emilio Sanchez,emilio-sanchez,$,1280000.0
1991,32,Umag,Outdoor,Clay,"$250,000",Dimitri Poliakov,dimitri-poliakov,$,250000.0
1991,33,Bologna,Outdoor,Clay,"$250,000",Paolo Cane,paolo-cane,$,250000.0
1991,34,World Team Cup,Outdoor,Clay,"$1,277,500",Stefan Edberg,stefan-edberg,$,1277500.0
1991,36,Florence,Outdoor,Clay,"$250,000",Thomas Muster,thomas-muster,$,250000.0
1991,37,London / Queen's Club,Outdoor,Grass,"$500,000",Stefan Edberg,stefan-edberg,$,500000.0
1991,38,Rosmalen,Outdoor,Grass,"$250,000",Christian Saceanu,christian-saceanu,$,250000.0
1991,39,Genova,Outdoor,Clay,"$250,000",Carl-Uwe Steeb,carl-uwe-steeb,$,250000.0
1991,40,Manchester,Outdoor,Grass,"$250,000",Goran Ivanisevic,goran-ivanisevic,$,250000.0
